Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
COMMD2,PHB,CNPY3,COL15A1,ARRB2,COPS4,,J9P4L2
COMMD4,PGRMC2,COL14A1,COL17A1,ARSB,RAD23B,,E2R0F2
COMT,,COL18A1,COL1A2,ASCC3,PLS3,,E2RNR3
COPA,,COL1A1,Col4a1,ASH2L,EIF4B,,F1PHY1
COPB1,,COL4A2,Col6a1,ASMTL,CDC42 ,,F1PHY9
COPB2,,COL4A4,COMMD4,ASNS,TTLL12,,E2RLB6
COPE,,COMMD2,COMT,ASPSCR1,USP5,,F1PBA7
COPG1,,COMMD4,COPA,ASRGL1,DCPS,,E2R002
COPG2,,COPA,COPB1,ATAD3A,FABP3,,E2R4Q2
COPS2,,COPB1,Copb2,ATE1,PMM2,,F1PI16
COPS3,,COPB2,COPE,ATG2A,DPP4,,J9NYU6
COPS4,,COPE,COPG1,ATG3,ACAT2,,E2RDE2
COPS5,,COPG1,COPG2,ATG4B,PNPO,,E2RJZ7
COPS6,,COPG2,COPS3,ATG5,PSMB5,,F6XVZ6
COPS7A,,COPS2,COPS4,ATG7,PSMB1,,E2RS32
COPZ1,,COPS3,COPS5,ATIC,PHYHD1,,E2R9G7
CORO1B,,COPS4,Cops6,ATL2,LASP1,,E2RF02
CORO1C,,COPS7A,COPS7A,ATL3,ANXA6,,E2RTJ7
COTL1,,COPZ1,Copz1,ATOX1,VAT1,,F1P9J3
CPD,,CORO1B,Coro1b,ATP1A1,ARF3,,E2RGG9
CPNE1,,CORO1C,COTL1,ATP1B1,ASRGL1,,E2RJQ8
CPNE3,,COTL1,cpb-3,ATP1B3,ALDOB,,E2R730
CPPED1,,CPD,Cpd,ATP2A2,SKP1,,E2R4N7
CPSF7,,CPNE3,Cpne1,ATP2B1,FGB,,J9P9V0
CRB2,,CPPED1,CPT1C,ATP5F1A,HYI,,F1P9J9
CRBN,,CPSF7,CPXM2,ATP5F1B,ADIRF,,E2RPU0
CRELD2,,CPT1A,CRB2,ATP5F1C,DDAH1,,F1PBL1
CRIP2,,cpt2,CRBN,ATP5F1D,RPL8,,Q28298
CRK,,CRELD2,Creld1,ATP5MF,GSTP1,,E2QXD1
CROCC,,CRIP2,Crip2,ATP5MG,RPS15A,,J9P7F5
CRYAB,,CRMP1,Crk,ATP5PB,PSMC1,,E2RHM4
CRYZ,,CROCC,CSDE1,ATP5PD,COPS5,,E2REG6
CSDE1,,CRYAB,Cse1l,ATP5PO,RPL3,,E2QX17
CSE1L,,CRYZ,CSK,ATP6V0A1,PCMT1,,E2RDS5
CSK,,CS,csn2,ATP6V0C,RPS18,,F1P625
CSN2,,CSE1L,CSNK1G3,ATP6V0D1,RPL4,,Q28284
CSNK2A1,,CSNK2A1,Csnk2a1,ATP6V1A,RENBP,,J9NT23
CSNK2A2,,CSNK2B,CSNK2A2,ATP6V1B2,PEPD,,F1PHL5
CSNK2B,,CSTF2,Csrp1,ATP6V1C1,NAXD,,F1PCH3
CSRP1,,CSTF2T,CTDSP1,ATP6V1D,BLVRA,,E2RFI6
CSTF2,,CTBP1,Ctnnb1,ATP6V1E1,PSMA5,,F2Z4P4
CSTF2T,,CTBP2,CTNND1,ATP6V1F,CUTA,,F1PU02
CTBP1,,CTNNA1,Ctps1,ATP6V1G1,YARS1,,E2RM11
CTBP2,,CTNNA2,Cttn,ATP6V1H,GBP5,,F2Z4P1
CTNNA1,,CTNNB1,Cul1,ATRX,AHSG,,F2Z4P2
CTNNA2,,CTNND1,CUL2,ATXN2L,FH,,F2Z4P3
CTNNB1,,CTSB,CUL3,ATXN3,APEH,,J9NS22
CTNND1,,CTSD,CUL4B,AUH,PAFAH1B1,,F1PI65
CTPS1,,CUL1,CUL5,AVL9,RPL6,,F1Q1J6
CTSB,,CWC25,CYB5R3,B4GALT1,OXSR1,,F1P7B0
CTSD,,CYFIP1,CYFIP1,BABAM1,RPL31,,F1PK62
CTTN,,cyfip2,Cyfip2,BABAM2,EIF4A2,,F1PK43
CUL1,,DARS,CYP20A1,BAD,RPLP2,,E2QZV5
CUL2,,DBT,CYP51A1,BAG3,PDXK,,E2QRX1
CUL3,,DCAKD,CYTH2,BAG5,ABHD14B,,F1PYU3
CUL4B,,DCN,Daam1,BAG6,HNRNPU,,J9PA62
CUL5,,DCTN1,Dad1,BAIAP2,ATP6V1A,,E2R4C1
CYB5R3,,DCTN2,DAPK2,BAIAP2L1,GNPDA2,,E2RBW4
CYFIP1,,DCTN4,DARS,BANF1,SIDT2,,F1PR93
CYFIP2,,DCXR,DCAF11,BASP1,PSMC4,,E2RN45
CYTH2,,DDB1,Dcaf7,BAX,PTPA,,E2RC89
DAPK2,,DDOST,Dcaf8,BBS1,NUTF2,,J9NRX4
DCAF11,,DDX1,Dcakd,BBS2,DDAH2,,J9NSL1
DCAF7,,DDX17,Dcdc2,BBS5,RPL30,,E2RRP9
DCAF8,,DDX39B,DCLK1,BBS7,TPPP,,F1PB61
DCDC2,,DDX3X,DCTN1,BBS9,RPL18,,J9NRQ9
DCN,,DDX5,DCTN2,BCAM,RPL10,,E2QWU0
DCTN1,,DDX6,Dcun1d1,BCAT2,IMPDH2,,F1PGC7
